Position: [2.7779697014435905, 1.5575396561949024, 93.63052533941028], Rotation: [0.6983800166666667, 1.0756790833333354, 0.8706659182746853], Velocity: [4.037445649024307, 2.2637266868033716, -7.80649468971235], Thrust Rotation: (0.511093, 0.17246), Thrust Magnitude: 1.561815
Position: [2.8452604622606623, 1.595268434308292, 93.49769209458175], Rotation: [0.7068982333333333, 1.0785534166666688, 0.8706659182746853], Velocity: [4.075666647179199, 2.2851608151924108, -7.718426002297576], Thrust Rotation: (0.511093, 0.17246), Thrust Magnitude: 1.561815
Position: [2.913188239713649, 1.633354447894832, 93.36632666121012], Rotation: [0.71541645, 1.0814277500000022, 0.8706659182746853], Velocity: [4.113887645334091, 2.30659494358145, -7.6303573148828026], Thrust Rotation: (0.511093, 0.17246), Thrust Magnitude: 1.561815
Position: [2.9817530338025504, 1.671797696954523, 93.23642903929542], Rotation: [0.7239346666666666, 1.0843020833333357, 0.8706659182746853], Velocity: [4.152108643488983, 2.328029071970489, -7.542288627468029], Thrust Rotation: (0.511093, 0.17246), Thrust Magnitude: 1.561815
Position: [3.0509548445273666, 1.7105981814873645, 93.10799922883761], Rotation: [0.7324528833333332, 1.087176416666669, 0.8706659182746853], Velocity: [4.190329641643875, 2.349463200359528, -7.454219940053255], Thrust Rotation: (0.511093, 0.17246), Thrust Magnitude: 1.561815
Position: [3.120793671888098, 1.7497559014933566, 92.98103722983673], Rotation: [0.7409710999999999, 1.0900507500000025, 0.8706659182746853], Velocity: [4.228550639798767, 2.3708973287485673, -7.366151252638481], Thrust Rotation: (0.511093, 0.17246), Thrust Magnitude: 1.561815
Position: [3.191269515884744, 1.7892708569724993, 92.85554304229275], Rotation: [0.7494893166666665, 1.092925083333336, 0.8706659182746853], Velocity: [4.266771637953659, 2.3923314571376064, -7.278082565223707], Thrust Rotation: (0.511093, 0.17246), Thrust Magnitude: 1.561815
Position: [3.262382376517305, 1.8291430479247928, 92.73151666620569], Rotation: [0.7580075333333331, 1.0957994166666694, 0.8706659182746853], Velocity: [4.304992636108551, 2.4137655855266456, -7.1900138778089335], Thrust Rotation: (0.511093, 0.17246), Thrust Magnitude: 1.561815
Position: [3.3341322537857807, 1.869372474350237, 92.60895810157554], Rotation: [0.7665257499999998, 1.0986737500000028, 0.8706659182746853], Velocity: [4.343213634263443, 2.4351997139156847, -7.10194519039416], Thrust Rotation: (0.511093, 0.17246), Thrust Magnitude: 1.561815
Position: [3.4065191476901715, 1.9099591362488317, 92.4878673484023], Rotation: [0.7750439666666664, 1.1015480833333362, 0.8706659182746853], Velocity: [4.381434632418335, 2.456633842304724, -7.013876502979386], Thrust Rotation: (0.511093, 0.17246), Thrust Magnitude: 1.561815
Position: [3.479543058230477, 1.950903033620577, 92.36824440668597], Rotation: [0.783562183333333, 1.1044224166666696, 0.8706659182746853], Velocity: [4.419655630573227, 2.478067970693763, -6.925807815564612], Thrust Rotation: (0.511093, 0.17246), Thrust Magnitude: 1.561815
Position: [3.5532039854066975, 1.992204166465473, 92.25008927642656], Rotation: [0.7920803999999997, 1.107296750000003, 0.8706659182746853], Velocity: [4.457876628728119, 2.499502099082802, -6.837739128149838], Thrust Rotation: (0.511093, 0.17246), Thrust Magnitude: 1.561815
Position: [3.6275019292188326, 2.0338625347835197, 92.13340195762407], Rotation: [0.8005986166666663, 1.1101710833333365, 0.8706659182746853], Velocity: [4.496097626883011, 2.520936227471841, -6.7496704407350645], Thrust Rotation: (0.511093, 0.17246), Thrust Magnitude: 1.561815
