Position: [7.189460308894954, -0.6149505834908754, 88.68648915732783], Rotation: [4.686239650000004, -2.1056249833333363, 4.393545855766076], Velocity: [9.832805504224341, -0.841066042762701, -14.50941457430347], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [7.3533404006320255, -0.6289683508702537, 88.44194058108944], Rotation: [4.737177350000004, -2.130807000000003, 4.393545855766076], Velocity: [9.943598097494124, -0.8505430600658741, -14.666248639063358], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [7.519067035590261, -0.6431440685380183, 88.19477810377171], Rotation: [4.7881150500000045, -2.1559890166666698, 4.393545855766076], Velocity: [10.054390690763908, -0.8600200773690472, -14.823082703823246], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [7.6866402137696594, -0.6574777364941691, 87.94500172537465], Rotation: [4.839052750000005, -2.1811710333333365, 4.393545855766076], Velocity: [10.165183284033692, -0.8694970946722202, -14.979916768583134], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [7.856059935170221, -0.6719693547387061, 87.69261144589827], Rotation: [4.890000050000005, -2.17200361666667, 4.393545855766076], Velocity: [10.145896677286812, -0.8678585396795687, -15.111849378611446], Thrust Rotation: (3.056838, 0.550045), Thrust Magnitude: 0.226478
Position: [8.025158213125001, -0.6864336637333656, 87.43802228958808], Rotation: [4.9409473500000045, -2.162836200000003, 4.393545855766076], Velocity: [10.126610070539932, -0.8662199846869172, -15.243781988639757], Thrust Rotation: (3.056838, 0.550045), Thrust Magnitude: 0.226478
Position: [8.193935047634, -0.7008706634781475, 87.18123425644409], Rotation: [4.991894650000004, -2.1536687833333366, 4.393545855766076], Velocity: [10.107323463793053, -0.8645814296942657, -15.375714598668068], Thrust Rotation: (3.056838, 0.550045), Thrust Magnitude: 0.226478
Position: [8.362390438697217, -0.715280353973052, 86.92224734646628], Rotation: [5.042841950000004, -2.14450136666667, 4.393545855766076], Velocity: [10.088036857046173, -0.8629428747016141, -15.50764720869638], Thrust Rotation: (3.056838, 0.550045), Thrust Magnitude: 0.226478
Position: [8.530524386314653, -0.7296627352180789, 86.66106155965467], Rotation: [5.093789250000004, -2.1353339500000033, 4.393545855766076], Velocity: [10.068750250299294, -0.8613043197089626, -15.639579818724691], Thrust Rotation: (3.056838, 0.550045), Thrust Magnitude: 0.226478
Position: [8.698336890486308, -0.7440178072132283, 86.39767689600926], Rotation: [5.144736550000004, -2.1261665333333366, 4.393545855766076], Velocity: [10.049463643552414, -0.8596657647163111, -15.771512428753002], Thrust Rotation: (3.056838, 0.550045), Thrust Magnitude: 0.226478
