Position: [-1086.1276765840294, 1608.24508321586, 3637.1929287584444], Rotation: [-1.1558383000000012, -0.46658284999999977, 4.501213223822247], Velocity: [-1567.330187869509, 2320.7859218313733, 5434.935681541221], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1112.2498463818545, 1646.9248485797161, 3727.772465117465], Rotation: [-1.1721143333333346, -0.4640686333333331, 4.501213223822247], Velocity: [-1565.2007914084952, 2317.6345551697177, 5459.792908578037], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1138.3365262386628, 1685.552091165878, 3818.7662885937657], Rotation: [-1.188390366666668, -0.4615544166666664, 4.501213223822247], Velocity: [-1563.0713949474814, 2314.483188508062, 5484.650135614853], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1164.3877161544542, 1724.1268109743457, 3910.1743991873464], Rotation: [-1.2046664000000014, -0.45904019999999973, 4.501213223822247], Velocity: [-1560.9419984864676, 2311.3318218464065, 5509.507362651669], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1190.4034161292286, 1762.6490080051192, 4001.9967968982073], Rotation: [-1.2209424333333347, -0.45652598333333305, 4.501213223822247], Velocity: [-1558.8126020254538, 2308.180455184751, 5534.364589688485], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1216.3836261629863, 1801.1186822581983, 4094.2334817263486], Rotation: [-1.2372184666666681, -0.45401176666666637, 4.501213223822247], Velocity: [-1556.68320556444, 2305.029088523095, 5559.2218167253], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1242.328346255727, 1839.5358337335833, 4186.884453671771], Rotation: [-1.2534945000000015, -0.4514975499999997, 4.501213223822247], Velocity: [-1554.5538091034261, 2301.8777218614396, 5584.079043762116], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1268.2375764074507, 1877.900462431274, 4279.949712734473], Rotation: [-1.269770533333335, -0.448983333333333, 4.501213223822247], Velocity: [-1552.4244126424123, 2298.726355199784, 5608.936270798932], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1294.1113166181576, 1916.2125683512704, 4373.429258914455], Rotation: [-1.2860465666666683, -0.44646911666666633, 4.501213223822247], Velocity: [-1550.2950161813985, 2295.5749885381283, 5633.793497835748], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1319.9495668878476, 1954.4721514935725, 4467.323092211717], Rotation: [-1.3023226000000017, -0.44395489999999965, 4.501213223822247], Velocity: [-1548.1656197203847, 2292.4236218764727, 5658.650724872564], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1345.7523272165206, 1992.6792118581805, 4561.63121262626], Rotation: [-1.318598633333335, -0.441440683333333, 4.501213223822247], Velocity: [-1546.036223259371, 2289.272255214817, 5683.50795190938], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1371.5195976041769, 2030.833749445094, 4656.353620158083], Rotation: [-1.3348746666666684, -0.4389264666666663, 4.501213223822247], Velocity: [-1543.906826798357, 2286.1208885531614, 5708.365178946196], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1397.2513780508161, 2068.9357642543137, 4751.490314807186], Rotation: [-1.3511507000000018, -0.4364122499999996, 4.501213223822247], Velocity: [-1541.7774303373433, 2282.969521891506, 5733.222405983011], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1422.9476685564384, 2106.9852562858387, 4847.0412965735695], Rotation: [-1.3674267333333352, -0.43389803333333293, 4.501213223822247], Velocity: [-1539.6480338763295, 2279.81815522985, 5758.079633019827], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1448.608469121044, 2144.9822255396693, 4943.006565457234], Rotation: [-1.3837027666666686, -0.43138381666666625, 4.501213223822247], Velocity: [-1537.5186374153157, 2276.6667885681945, 5782.936860056643], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1474.2337797446326, 2182.9266720158057, 5039.3861214581775], Rotation: [-1.399978800000002, -0.4288695999999996, 4.501213223822247], Velocity: [-1535.3892409543018, 2273.515421906539, 5807.794087093459], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1499.8236004272042, 2220.818595714248, 5136.179964576402], Rotation: [-1.4162548333333354, -0.4263553833333329, 4.501213223822247], Velocity: [-1533.259844493288, 2270.3640552448833, 5832.651314130275], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1525.377931168759, 2258.6579966349964, 5233.388094811907], Rotation: [-1.4325308666666687, -0.4238411666666662, 4.501213223822247], Velocity: [-1531.1304480322742, 2267.2126885832276, 5857.508541167091], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1550.8967719692969, 2296.4448747780502, 5331.010512164692], Rotation: [-1.4488069000000021, -0.42132694999999953, 4.501213223822247], Velocity: [-1529.0010515712604, 2264.061321921572, 5882.365768203907], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1576.3801228288178, 2334.1792301434098, 5429.047216634757], Rotation: [-1.4650829333333355, -0.41881273333333285, 4.501213223822247], Velocity: [-1526.8716551102466, 2260.9099552599164, 5907.222995240722], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1601.827983747322, 2371.861062731075, 5527.498208222102], Rotation: [-1.4813589666666689, -0.4162985166666662, 4.501213223822247], Velocity: [-1524.7422586492328, 2257.7585885982608, 5932.080222277538], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1627.240354724809, 2409.490372541046, 5626.363486926728], Rotation: [-1.4976350000000023, -0.4137842999999995, 4.501213223822247], Velocity: [-1522.612862188219, 2254.607221936605, 5956.937449314354], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1652.6172357612795, 2447.0671595733224, 5725.643052748634], Rotation: [-1.5139110333333357, -0.4112700833333328, 4.501213223822247], Velocity: [-1520.4834657272052, 2251.4558552749495, 5981.79467635117], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
