Position: [0.36574706850953387, -0.4839088301883056, 94.7646833555108], Rotation: [-1.0159401999999988, 0.7205209000000007, 0.5930408311288585], Velocity: [0.6752253572483706, -0.8933701480399487, -9.333169189826197], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.3770008244636734, -0.4987983326556381, 94.60640553568037], Rotation: [-1.0313332333333323, 0.731437883333334, 0.5930408311288585], Velocity: [0.6854560444794066, -0.9069060593738874, -9.474580844217503], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.3884250918716635, -0.5139134336452029, 94.4457708549434], Rotation: [-1.0467262666666657, 0.7423548666666674, 0.5930408311288585], Velocity: [0.6956867317104425, -0.920441970707826, -9.615992498608808], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.4000198707335042, -0.529254133157, 94.28277931329993], Rotation: [-1.062119299999999, 0.7532718500000007, 0.5930408311288585], Velocity: [0.7059174189414784, -0.9339778820417646, -9.757404153000113], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.4117851610491955, -0.5448204311910294, 94.11743091074993], Rotation: [-1.0775123333333325, 0.7641888333333341, 0.5930408311288585], Velocity: [0.7161481061725143, -0.9475137933757032, -9.898815807391419], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.4237209628187374, -0.5606123277472911, 93.9497256472934], Rotation: [-1.092905366666666, 0.7751058166666674, 0.5930408311288585], Velocity: [0.7263787934035503, -0.9610497047096418, -10.040227461782724], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.4358272760421299, -0.5766298228257851, 93.77966352293036], Rotation: [-1.1082983999999994, 0.7860228000000008, 0.5930408311288585], Velocity: [0.7366094806345862, -0.9745856160435804, -10.18163911617403], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.448104100719373, -0.5928729164265114, 93.60724453766079], Rotation: [-1.1236914333333328, 0.7969397833333342, 0.5930408311288585], Velocity: [0.7468401678656221, -0.988121527377519, -10.323050770565334], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.46055143685046673, -0.6093416085494701, 93.4324686914847], Rotation: [-1.1390844666666662, 0.8078567666666675, 0.5930408311288585], Velocity: [0.7570708550966581, -1.0016574387114576, -10.46446242495664], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.473169284435411, -0.6260358991946611, 93.2553359844021], Rotation: [-1.1544774999999996, 0.8187737500000009, 0.5930408311288585], Velocity: [0.767301542327694, -1.0151933500453962, -10.605874079347945], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
